#id   F_275   F_336   F_438   F_606   F_814   e_275   e_336   e_438   e_606   e_814
41282	2.981261E-16	3.922835E-16	9.954054E-16	4.281540E-16	2.238721E-16	3.168575E-17	4.039907E-17	1.094105E-17	2.281099E-18	2.581064E-17
47258	5.975854E-16	5.915616E-16	1.225745E-15	6.534314E-16	3.165192E-16	1.252598E-17	4.342768E-18	5.631785E-18	2.822500E-18	1.860271E-18
48417	3.502676E-16	5.420009E-16	8.348338E-16	6.698846E-16	4.341102E-16	2.250995E-18	2.986947E-18	4.994052E-16	2.832134E-18	2.193506E-18
49725	6.698846E-16	6.098177E-16	1.179234E-15	5.100350E-16	2.197860E-16	9.191161E-18	7.258078E-18	5.418088E-18	2.483659E-18	2.023372E-19
50547	8.061206E-16	7.171335E-16	1.514956E-15	6.937452E-16	2.857591E-16	1.762365E-17	5.919969E-18	4.180200E-18	2.869383E-18	1.757969E-18
97080	1.130316E-15	1.128236E-15	2.203941E-15	1.082430E-15	5.365374E-16	1.139384E-17	1.137287E-17	1.819363E-17	3.583095E-18	2.415973E-18
104000	3.940942E-16	3.587567E-16	5.738521E-16	4.325138E-16	2.068236E-16	1.204413E-16	7.220696E-17	3.830216E-17	2.225073E-18	1.871870E-17
87043	5.128614E-16	4.803967E-16	1.030861E-15	4.817259E-16	2.108628E-16	3.295903E-18	3.526685E-18	1.039131E-17	2.434102E-18	3.105101E-19
90283	5.888437E-16	5.445027E-16	1.063653E-15	4.870797E-16	2.276145E-16	4.883590E-17	2.162510E-17	5.861753E-18	2.416517E-18	1.566887E-18
95436	8.782133E-16	8.566433E-16	1.958845E-15	9.488553E-16	4.168694E-16	1.616240E-18	6.288784E-18	0.000000E+00	3.315122E-18	2.106390E-18
86544	2.989510E-16	3.357376E-16	5.515692E-16	3.812414E-16	1.771740E-16	3.616634E-17	1.980097E-17	1.521938E-18	2.135925E-18	1.300669E-18
102187	2.876074E-16	3.107420E-16	5.743809E-16	3.634126E-16	2.006319E-16	6.822586E-17	2.419230E-17	1.668174E-17	2.069321E-18	3.138952E-19
108508	5.470160E-16	4.897788E-16	9.718517E-16	4.812824E-16	1.951641E-16	1.294373E-17	8.939471E-18	8.909990E-18	2.343646E-18	1.254222E-18
92754	5.866783E-16	8.317638E-16	1.351450E-15	1.001844E-15	6.228737E-16	9.646131E-18	3.821607E-18	6.209349E-18	3.408298E-18	2.576253E-18
51945	2.560944E-16	2.918771E-16	6.020049E-16	3.221069E-16	1.446772E-16	1.084944E-17	7.430974E-18	8.259816E-18	1.952092E-18	2.662599E-19
37845	1.916020E-16	1.858660E-16	3.232958E-16	1.768479E-16	8.605973E-17	4.188859E-18	4.565104E-18	3.553523E-18	1.298275E-18	7.104270E-19
58608	1.543121E-16	1.548817E-16	2.723955E-16	1.498304E-16	7.331621E-17	4.205433E-18	1.984297E-18	2.507701E-19	1.373654E-18	4.040429E-19
54392	1.905461E-16	1.997101E-16	3.489796E-16	1.976970E-16	9.853715E-17	5.022114E-18	4.725627E-18	6.053894E-18	2.712504E-18	7.233803E-19
47372	1.881049E-16	2.021157E-16	3.872576E-16	2.098940E-16	1.014846E-16	8.134901E-18	1.298896E-18	5.664996E-18	7.592070E-18	1.760495E-18
38854	2.868138E-16	2.603754E-16	5.133340E-16	2.591791E-16	1.139725E-16	4.455834E-18	2.387136E-18	7.974970E-18	3.816592E-19	2.097518E-19
46636	3.019952E-16	3.153552E-16	6.480373E-16	3.171027E-16	1.382929E-16	1.940772E-18	4.326836E-18	6.532362E-18	1.950793E-18	2.148469E-18
